Labels	no pinhole	
Type	Time Scan	
Comment		
Start	0.00	
Stop	99975008.000000	
Step	2.5E04	
Fixed/Offset	 	
XAxis	Time	
YAxis	Counts	

2.0875E0007	2.201E+3	
2.09E07	2.333E+3	
2.0925E0007	2.316E+3	
2.095E007	2.224E+3	
2.0975E0007	2.182E+3	
2.1E07	2.225E+3	
2.1025E0007	2.211E+3	
2.105E007	2.190E+3	
2.1075E0007	2.251E+3	
2.11E07	2.212E+3	
2.1125E0007	2.185E+3	
2.115E007	2.148E+3	
2.1175E0007	2.094E+3	
2.12E07	2.205E+3	
2.1225E0007	2.126E+3	
2.125E007	2.172E+3	
2.1275E0007	2.197E+3	
2.13E07	2.240E+3	
2.1325E0007	2.187E+3	
2.135E007	2.140E+3	
2.1375E0007	2.175E+3	
2.14E07	2.197E+3	
2.1425E0007	2.127E+3	
2.145E007	2.193E+3	
2.1475E0007	2.093E+3	
2.15E07	2.230E+3	
2.1525E0007	2.167E+3	
2.155E007	2.182E+3	
2.1575E0007	2.193E+3	
2.16E07	2.139E+3	
2.1625E0007	2.105E+3	
2.165E007	2.146E+3	
2.1675E0007	2.076E+3	
2.17E07	2.123E+3	
2.1725E0007	2.121E+3	
2.175E007	2.054E+3	
2.1775E0007	2.024E+3	
2.18E07	2.080E+3	
2.1825E0007	2.034E+3	
2.185E007	2.057E+3	
2.1875E0007	2.042E+3	
2.19E07	2.101E+3	
2.1925E0007	2.119E+3	
2.195E007	2.065E+3	
2.1975E0007	2.010E+3	
2.2E07	2.076E+3	
2.2025E0007	2.077E+3	
2.205E007	2.130E+3	
2.2075E0007	2.110E+3	
2.21E07	2.097E+3	
2.2125E0007	2.010E+3	
2.215E007	2.048E+3	
2.2175E0007	2.084E+3	
2.22E07	2.016E+3	
2.2225E0007	2.112E+3	
2.225E007	2.012E+3	
2.2275E0007	2.004E+3	
2.23E07	1.998E+3	
2.2325E0007	2.012E+3	
2.235E007	2.071E+3	
2.2375E0007	2.172E+3	
2.24E07	2.064E+3	
2.2425E0007	2.037E+3	
2.245E007	2.027E+3	
2.2475E0007	1.953E+3	
2.25E07	2.052E+3	
2.2525E0007	1.964E+3	
2.255E007	2.026E+3	
2.2575E0007	2.005E+3	
2.26E07	1.917E+3	
2.2625E0007	1.930E+3	
2.265E007	2.045E+3	
2.2675E0007	1.983E+3	
2.27E07	2.063E+3	
2.2725E0007	1.954E+3	
2.275E007	2.038E+3	
2.2775E0007	1.981E+3	
2.28E07	1.986E+3	
2.2825E0007	1.908E+3	
2.285E007	1.949E+3	
2.2875E0007	1.986E+3	
2.29E07	2.008E+3	
